momentum,cdf
21094,0.000971
40572,0.001942
258231,0.002913
1513263,0.003883
1881748,0.004854
1914923,0.005825
2195201,0.006796
4578715,0.007767
4838541,0.008738
5173471,0.009709
5185803,0.010680
5204173,0.011650
5214835,0.012621
5253661,0.013592
5273083,0.014563
5289125,0.015534
5308545,0.016505
5340991,0.017476
5347557,0.018447
5348036,0.019417
5350868,0.020388
5364144,0.021359
5374010,0.022330
5384619,0.023301
5399619,0.024272
5407088,0.025243
5420258,0.026214
5466471,0.027184
5473085,0.028155
5486328,0.029126
5500615,0.030097
5505965,0.031068
5520348,0.032039
5524349,0.033010
5526150,0.033981
5538308,0.034951
5539292,0.035922
5542737,0.036893
5551637,0.037864
5556111,0.038835
5565848,0.039806
5566116,0.040777
5579470,0.041748
5579470,0.042718
5584404,0.043689
5589090,0.044660
5591494,0.045631
5592714,0.046602
5592840,0.047573
5596859,0.048544
5602878,0.049515
5607395,0.050485
5609530,0.051456
5622981,0.052427
5639755,0.053398
5643119,0.054369
5648645,0.055340
5665856,0.056311
5686875,0.057282
5726423,0.058252
5734873,0.059223
5736287,0.060194
5744762,0.061165
5753693,0.062136
5764304,0.063107
5766909,0.064078
5769998,0.065049
5795310,0.066019
5807366,0.066990
5821216,0.067961
5832810,0.068932
5833948,0.069903
5836236,0.070874
5853331,0.071845
5876445,0.072816
5877485,0.073786
5898739,0.074757
5911641,0.075728
5925403,0.076699
5927078,0.077670
5944918,0.078641
5955048,0.079612
5956426,0.080583
5970315,0.081553
6001099,0.082524
6025773,0.083495
6038748,0.084466
6039468,0.085437
6051498,0.086408
6065379,0.087379
6073325,0.088350
6099837,0.089320
6103326,0.090291
6130251,0.091262
6137595,0.092233
6137927,0.093204
6165316,0.094175
6175855,0.095146
6179369,0.096117
6179370,0.097087
6185481,0.098058
6191162,0.099029
6192172,0.100000
6253324,0.100971
6253413,0.101942
6274571,0.102913
6295516,0.103883
6320196,0.104854
6335020,0.105825
6352830,0.106796
6352830,0.107767
6361199,0.108738
6405493,0.109709
6422091,0.110680
6444439,0.111650
6483127,0.112621
6492569,0.113592
6510617,0.114563
6531505,0.115534
6546771,0.116505
6563654,0.117476
6575751,0.118447
6586482,0.119417
6593896,0.120388
6594912,0.121359
6597527,0.122330
6624185,0.123301
6647654,0.124272
6676881,0.125243
6703273,0.126214
6703696,0.127184
6705320,0.128155
6711175,0.129126
6713693,0.130097
6720180,0.131068
6724210,0.132039
6726728,0.133010
6735251,0.133981
6736285,0.134951
6743628,0.135922
6754650,0.136893
6781970,0.137864
6786501,0.138835
6791180,0.139806
6803781,0.140777
6807340,0.141748
6820971,0.142718
6824625,0.143689
6835679,0.144660
6872778,0.145631
6897809,0.146602
6920946,0.147573
6930506,0.148544
6967574,0.149515
6980085,0.150485
6991930,0.151456
7004368,0.152427
7006845,0.153398
7031847,0.154369
7035536,0.155340
7061650,0.156311
7074441,0.157282
7096054,0.158252
7120738,0.159223
7126330,0.160194
7142102,0.161165
7163342,0.162136
7180192,0.163107
7182859,0.164078
7266806,0.165049
7282160,0.166019
7283583,0.166990
7294234,0.167961
7297355,0.168932
7309090,0.169903
7332182,0.170874
7336434,0.171845
7370663,0.172816
7374234,0.173786
7377749,0.174757
7378561,0.175728
7402395,0.176699
7413175,0.177670
7424731,0.178641
7441800,0.179612
7442471,0.180583
7447925,0.181553
7462727,0.182524
7486515,0.183495
7495368,0.184466
7525260,0.185437
7603889,0.186408
7647070,0.187379
7659590,0.188350
7682798,0.189320
7703975,0.190291
7725265,0.191262
7738203,0.192233
7779646,0.193204
7783484,0.194175
7787428,0.195146
7812883,0.196117
7815080,0.197087
7816806,0.198058
7819035,0.199029
7834833,0.200000
7862595,0.200971
7910629,0.201942
7957789,0.202913
7980327,0.203883
8000512,0.204854
8005107,0.205825
8010003,0.206796
8031896,0.207767
8055113,0.208738
8062120,0.209709
8085332,0.210680
8110220,0.211650
8121936,0.212621
8127857,0.213592
8191128,0.214563
8214787,0.215534
8217702,0.216505
8218289,0.217476
8220209,0.218447
8227596,0.219417
8268248,0.220388
8272278,0.221359
8345270,0.222330
8364142,0.223301
8370186,0.224272
8373156,0.225243
8376170,0.226214
8386095,0.227184
8435778,0.228155
8476236,0.229126
8489240,0.230097
8504391,0.231068
8586356,0.232039
8639504,0.233010
8651484,0.233981
8763391,0.234951
8771766,0.235922
8809503,0.236893
8810603,0.237864
8930784,0.238835
8945974,0.239806
8965321,0.240777
9033375,0.241748
9039629,0.242718
9063153,0.243689
9064269,0.244660
9068256,0.245631
9080190,0.246602
9121732,0.247573
9127128,0.248544
9162730,0.249515
9169902,0.250485
9176694,0.251456
9186838,0.252427
9196886,0.253398
9282455,0.254369
9282495,0.255340
9337078,0.256311
9389611,0.257282
9397934,0.258252
9425032,0.259223
9457437,0.260194
9462464,0.261165
9472302,0.262136
9473982,0.263107
9521747,0.264078
9524712,0.265049
9571243,0.266019
9579415,0.266990
9603990,0.267961
9651356,0.268932
9660210,0.269903
9673401,0.270874
9678177,0.271845
9699757,0.272816
9739360,0.273786
9743905,0.274757
9750583,0.275728
9774830,0.276699
9790335,0.277670
9792925,0.278641
9801378,0.279612
9836830,0.280583
9845703,0.281553
9876671,0.282524
9929708,0.283495
9944777,0.284466
9985122,0.285437
10001628,0.286408
10037440,0.287379
10062710,0.288350
10064341,0.289320
10076346,0.290291
10077784,0.291262
10097392,0.292233
10109043,0.293204
10124638,0.294175
10143653,0.295146
10172305,0.296117
10176816,0.297087
10208104,0.298058
10209441,0.299029
10238524,0.300000
10261030,0.300971
10334522,0.301942
10337756,0.302913
10360201,0.303883
10367175,0.304854
10397369,0.305825
10401110,0.306796
10490267,0.307767
10504933,0.308738
10513405,0.309709
10540936,0.310680
10549470,0.311650
10570824,0.312621
10605315,0.313592
10613174,0.314563
10614086,0.315534
10642163,0.316505
10647545,0.317476
10657898,0.318447
10694576,0.319417
10720765,0.320388
10754151,0.321359
10765316,0.322330
10820248,0.323301
10833117,0.324272
10835653,0.325243
10836840,0.326214
10866195,0.327184
10873527,0.328155
10890560,0.329126
10925475,0.330097
10942528,0.331068
10974394,0.332039
11056446,0.333010
11056753,0.333981
11089254,0.334951
11146746,0.335922
11153867,0.336893
11330383,0.337864
11336132,0.338835
11350250,0.339806
11369134,0.340777
11438577,0.341748
11478281,0.342718
11522399,0.343689
11527180,0.344660
11580068,0.345631
11608970,0.346602
11637883,0.347573
11671696,0.348544
11671696,0.349515
11686005,0.350485
11739184,0.351456
11747099,0.352427
11763664,0.353398
11777454,0.354369
11778231,0.355340
11868735,0.356311
11883071,0.357282
11897265,0.358252
11924269,0.359223
12024146,0.360194
12024751,0.361165
12130274,0.362136
12166345,0.363107
12252868,0.364078
12258676,0.365049
12273535,0.366019
12313203,0.366990
12324015,0.367961
12346897,0.368932
12415532,0.369903
12538582,0.370874
12570444,0.371845
12607353,0.372816
12646116,0.373786
12698280,0.374757
12732493,0.375728
12743675,0.376699
12814383,0.377670
12843824,0.378641
12860056,0.379612
12885426,0.380583
12920340,0.381553
12928845,0.382524
12971871,0.383495
13003363,0.384466
13007862,0.385437
13068522,0.386408
13103146,0.387379
13145261,0.388350
13150756,0.389320
13150756,0.390291
13187479,0.391262
13207782,0.392233
13227783,0.393204
13282918,0.394175
13382229,0.395146
13385443,0.396117
13389236,0.397087
13413610,0.398058
13429150,0.399029
13429153,0.400000
13504735,0.400971
13512201,0.401942
13574655,0.402913
13590805,0.403883
13637253,0.404854
13642476,0.405825
13652451,0.406796
13668039,0.407767
13694761,0.408738
13727805,0.409709
13768128,0.410680
13789125,0.411650
13819594,0.412621
13883814,0.413592
14127187,0.414563
14148537,0.415534
14185801,0.416505
14188308,0.417476
14191128,0.418447
14196455,0.419417
14280399,0.420388
14287107,0.421359
14378203,0.422330
14393714,0.423301
14415765,0.424272
14442622,0.425243
14503885,0.426214
14615121,0.427184
14695414,0.428155
14706426,0.429126
14802377,0.430097
14807586,0.431068
14815791,0.432039
14859426,0.433010
14985074,0.433981
15012460,0.434951
15039870,0.435922
15055963,0.436893
15122278,0.437864
15133225,0.438835
15160771,0.439806
15193246,0.440777
15210370,0.441748
15214320,0.442718
15295426,0.443689
15306808,0.444660
15337491,0.445631
15404828,0.446602
15465082,0.447573
15466912,0.448544
15621255,0.449515
15710286,0.450485
15716421,0.451456
15722382,0.452427
15761304,0.453398
15772203,0.454369
15778156,0.455340
15828162,0.456311
15862528,0.457282
15873795,0.458252
16043280,0.459223
16126537,0.460194
16196586,0.461165
16355954,0.462136
16396401,0.463107
16397203,0.464078
16482411,0.465049
16495214,0.466019
16551779,0.466990
16568625,0.467961
16614729,0.468932
16660878,0.469903
16814992,0.470874
16863528,0.471845
16892578,0.472816
16955480,0.473786
17038203,0.474757
17070781,0.475728
17235563,0.476699
17296338,0.477670
17366671,0.478641
17396151,0.479612
17407950,0.480583
17449189,0.481553
17609145,0.482524
17668512,0.483495
17781651,0.484466
17823435,0.485437
17877210,0.486408
17984408,0.487379
18007651,0.488350
18201551,0.489320
18316378,0.490291
18547095,0.491262
18558663,0.492233
18614151,0.493204
18809908,0.494175
18816045,0.495146
18822180,0.496117
18846730,0.497087
18969720,0.498058
18979266,0.499029
19031365,0.500000
19055801,0.500971
19060006,0.501942
19124017,0.502913
19161145,0.503883
19192110,0.504854
19229301,0.505825
19372199,0.506796
19378425,0.507767
19379662,0.508738
19521876,0.509709
19678366,0.510680
19729050,0.511650
19734900,0.512621
19844147,0.513592
19873360,0.514563
19892278,0.515534
19983387,0.516505
20120304,0.517476
20131039,0.518447
20182550,0.519417
20221620,0.520388
20284810,0.521359
20311656,0.522330
20380910,0.523301
20412852,0.524272
20438096,0.525243
20502406,0.526214
20514481,0.527184
20637092,0.528155
20785128,0.529126
20844169,0.530097
20925940,0.531068
20946628,0.532039
20998434,0.533010
21018328,0.533981
21107008,0.534951
21176391,0.535922
21212840,0.536893
21533203,0.537864
21559461,0.538835
21671236,0.539806
21682049,0.540777
21723921,0.541748
21776699,0.542718
21843712,0.543689
21882420,0.544660
21894995,0.545631
21928752,0.546602
22048120,0.547573
22081335,0.548544
22084765,0.549515
22107925,0.550485
22190129,0.551456
22221000,0.552427
22247785,0.553398
22301074,0.554369
22327897,0.555340
22327903,0.556311
22338537,0.557282
22341270,0.558252
22344019,0.559223
22562403,0.560194
22582560,0.561165
22590009,0.562136
22592192,0.563107
22595459,0.564078
22609495,0.565049
22845233,0.566019
22885995,0.566990
22980810,0.567961
23089410,0.568932
23109801,0.569903
23259639,0.570874
23300551,0.571845
23361955,0.572816
23410473,0.573786
23525700,0.574757
23526355,0.575728
23711941,0.576699
23847075,0.577670
24002250,0.578641
24327308,0.579612
24360369,0.580583
24482503,0.581553
24563992,0.582524
24702091,0.583495
24735061,0.584466
24861826,0.585437
24876382,0.586408
25116325,0.587379
25207809,0.588350
25258278,0.589320
25751071,0.590291
25772543,0.591262
25873221,0.592233
25995655,0.593204
26010078,0.594175
26038936,0.595146
26089476,0.596117
26145702,0.597087
26372232,0.598058
26441291,0.599029
26575695,0.600000
26692470,0.600971
26880262,0.601942
27258036,0.602913
27265770,0.603883
27277406,0.604854
27382887,0.605825
27494045,0.606796
27807050,0.607767
27986114,0.608738
28136251,0.609709
28339022,0.610680
28489926,0.611650
28664095,0.612621
28891401,0.613592
28953963,0.614563
29078265,0.615534
29203750,0.616505
29418230,0.617476
29531744,0.618447
29648850,0.619417
29710457,0.620388
29735901,0.621359
29764242,0.622330
29872585,0.623301
30039626,0.624272
30066135,0.625243
30112679,0.626214
30159261,0.627184
30198106,0.628155
30232131,0.629126
30268090,0.630097
30355918,0.631068
30586156,0.632039
30705348,0.633010
30728880,0.633981
30749020,0.634951
30845246,0.635922
31287669,0.636893
31317240,0.637864
31343403,0.638835
31478145,0.639806
31844187,0.640777
31932036,0.641748
32036010,0.642718
32188643,0.643689
32252490,0.644660
32397225,0.645631
32784753,0.646602
32963532,0.647573
32965148,0.648544
33085045,0.649515
33117591,0.650485
33427566,0.651456
33714366,0.652427
33747220,0.653398
34134020,0.654369
34250226,0.655340
34316469,0.656311
34341328,0.657282
34632003,0.658252
34681956,0.659223
34731945,0.660194
34832031,0.661165
34990795,0.662136
35069691,0.663107
35499597,0.664078
35511378,0.665049
35713926,0.666019
35942471,0.666990
36205795,0.667961
36224443,0.668932
36666766,0.669903
37372335,0.670874
37561930,0.671845
37899618,0.672816
37918986,0.673786
37979970,0.674757
38256375,0.675728
38519311,0.676699
38645236,0.677670
38697185,0.678641
38759604,0.679612
38988865,0.680583
39085941,0.681553
39223842,0.682524
39358393,0.683495
39486505,0.684466
39725241,0.685437
39823629,0.686408
40154241,0.687379
40225899,0.688350
40296908,0.689320
40297753,0.690291
40350561,0.691262
40432528,0.692233
40477500,0.693204
40531145,0.694175
40603566,0.695146
40608724,0.696117
40711776,0.697087
40991982,0.698058
41019153,0.699029
41027260,0.700000
41055302,0.700971
41455065,0.701942
41838378,0.702913
41852591,0.703883
41900677,0.704854
41945272,0.705825
42076550,0.706796
42241824,0.707767
42462720,0.708738
42481153,0.709709
42709151,0.710680
43231051,0.711650
43637810,0.712621
43678531,0.713592
44087803,0.714563
44222304,0.715534
44410600,0.716505
45120250,0.717476
45443811,0.718447
45854676,0.719417
45920916,0.720388
45929457,0.721359
45952343,0.722330
46296253,0.723301
46334751,0.724272
46461176,0.725243
46527481,0.726214
46720610,0.727184
46904049,0.728155
47166830,0.729126
47487385,0.730097
48172020,0.731068
48329196,0.732039
48468396,0.733010
48970356,0.733981
49123065,0.734951
49458372,0.735922
49555980,0.736893
49575903,0.737864
49587085,0.738835
49777767,0.739806
50355025,0.740777
50506275,0.741748
50616891,0.742718
50792287,0.743689
50973895,0.744660
51349302,0.745631
51882390,0.746602
51882391,0.747573
51882391,0.748544
52086321,0.749515
52328484,0.750485
52762128,0.751456
53593024,0.752427
54480628,0.753398
54512461,0.754369
54648285,0.755340
54941397,0.756311
55056771,0.757282
55350845,0.758252
56546295,0.759223
56556930,0.760194
56588841,0.761165
56897778,0.762136
58113979,0.763107
58351458,0.764078
58385133,0.765049
59116123,0.766019
59203521,0.766990
59464965,0.767961
60066280,0.768932
60236193,0.769903
60329620,0.770874
60351590,0.771845
60659605,0.772816
60736730,0.773786
60828098,0.774757
60855378,0.775728
60989929,0.776699
61816877,0.777670
61829229,0.778641
62356528,0.779612
62568891,0.780583
62580078,0.781553
64007482,0.782524
64712376,0.783495
64826191,0.784466
64871609,0.785437
64871745,0.786408
66165256,0.787379
66407050,0.788350
66977539,0.789320
68030280,0.790291
69084134,0.791262
69390090,0.792233
69390090,0.793204
71204211,0.794175
71407225,0.795146
71838091,0.796117
72607275,0.797087
72637926,0.798058
74053913,0.799029
74316336,0.800000
74988381,0.800971
74988381,0.801942
75095009,0.802913
75172191,0.803883
75675753,0.804854
75957882,0.805825
76423759,0.806796
76588876,0.807767
77632015,0.808738
77831526,0.809709
79323310,0.810680
79954335,0.811650
80035737,0.812621
80460409,0.813592
80651340,0.814563
80956450,0.815534
81274506,0.816505
81466230,0.817476
81733388,0.818447
82439220,0.819417
82863500,0.820388
83649660,0.821359
83665356,0.822330
85027320,0.823301
85275270,0.824272
85890171,0.825243
86480976,0.826214
86559902,0.827184
87007836,0.828155
87179407,0.829126
91091253,0.830097
91415481,0.831068
93398952,0.832039
93897879,0.833010
94235856,0.833981
94716966,0.834951
95020005,0.835922
97015485,0.836893
97587435,0.837864
100000000,0.838835
100000000,0.839806
100000000,0.840777
100000000,0.841748
100000000,0.842718
100000000,0.843689
100000000,0.844660
100000000,0.845631
100000000,0.846602
100000000,0.847573
100000000,0.848544
100000000,0.849515
100000000,0.850485
100000000,0.851456
100000000,0.852427
100000000,0.853398
100000000,0.854369
100000000,0.855340
100000000,0.856311
100000000,0.857282
100000000,0.858252
100000000,0.859223
100000000,0.860194
100000000,0.861165
100000000,0.862136
100000000,0.863107
100000000,0.864078
100000000,0.865049
100000000,0.866019
100000000,0.866990
100000000,0.867961
100000000,0.868932
100000000,0.869903
100000000,0.870874
100000000,0.871845
100000000,0.872816
100000000,0.873786
100000000,0.874757
100000000,0.875728
100000000,0.876699
100000000,0.877670
100000000,0.878641
100000000,0.879612
100000000,0.880583
100000000,0.881553
100000000,0.882524
100000000,0.883495
100000000,0.884466
100000000,0.885437
100000000,0.886408
100000000,0.887379
100000000,0.888350
100000000,0.889320
100000000,0.890291
100000000,0.891262
100000000,0.892233
100000000,0.893204
100000000,0.894175
100000000,0.895146
100000000,0.896117
100000000,0.897087
100000000,0.898058
100000000,0.899029
100000000,0.900000
100000000,0.900971
100000000,0.901942
100000000,0.902913
100000000,0.903883
100000000,0.904854
100000000,0.905825
100000000,0.906796
100000000,0.907767
100000000,0.908738
100000000,0.909709
100000000,0.910680
100000000,0.911650
100000000,0.912621
100000000,0.913592
100000000,0.914563
100000000,0.915534
100000000,0.916505
100000000,0.917476
100000000,0.918447
100000000,0.919417
100000000,0.920388
100000000,0.921359
100000000,0.922330
100000000,0.923301
100000000,0.924272
100000000,0.925243
100000000,0.926214
100000000,0.927184
100000000,0.928155
100000000,0.929126
100000000,0.930097
100000000,0.931068
100000000,0.932039
100000000,0.933010
100000000,0.933981
100000000,0.934951
100000000,0.935922
100000000,0.936893
100000000,0.937864
100000000,0.938835
100000000,0.939806
100000000,0.940777
100000000,0.941748
100000000,0.942718
100000000,0.943689
100000000,0.944660
100000000,0.945631
100000000,0.946602
100000000,0.947573
100000000,0.948544
100000000,0.949515
100000000,0.950485
100000000,0.951456
100000000,0.952427
100000000,0.953398
100000000,0.954369
100000000,0.955340
100000000,0.956311
100000000,0.957282
100000000,0.958252
100000000,0.959223
100000000,0.960194
100000000,0.961165
100000000,0.962136
100000000,0.963107
100000000,0.964078
100000000,0.965049
100000000,0.966019
100000000,0.966990
100000000,0.967961
100000000,0.968932
100000000,0.969903
100000000,0.970874
100000000,0.971845
100000000,0.972816
100000000,0.973786
100000000,0.974757
100000000,0.975728
100000000,0.976699
100000000,0.977670
100000000,0.978641
100000000,0.979612
100000000,0.980583
100000000,0.981553
100000000,0.982524
100000000,0.983495
100000000,0.984466
100000000,0.985437
100000000,0.986408
100000000,0.987379
100000000,0.988350
100000000,0.989320
100000000,0.990291
100000000,0.991262
100000000,0.992233
100000000,0.993204
100000000,0.994175
100000000,0.995146
100000000,0.996117
100000000,0.997087
100000000,0.998058
100000000,0.999029
100000000,1.000000
